status file for recon-all
Mon Jan  1 19:40:35 UTC 2018
#@# MotionCor Mon Jan  1 19:40:56 UTC 2018
#@# Talairach Mon Jan  1 19:41:29 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:46:46 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:46:46 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:00:37 UTC 2018
#@# Skull Stripping Mon Jan  1 20:07:17 UTC 2018
#@# EM Registration Mon Jan  1 21:33:02 UTC 2018
#@# CA Normalize Mon Jan  1 22:41:11 UTC 2018
#@# CA Reg Mon Jan  1 22:46:00 UTC 2018
