status file for recon-all
Mon Jan  1 19:38:57 UTC 2018
#@# MotionCor Mon Jan  1 19:39:10 UTC 2018
#@# Talairach Mon Jan  1 19:39:36 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:44:30 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:44:30 UTC 2018
#@# Intensity Normalization Mon Jan  1 19:53:45 UTC 2018
#@# Skull Stripping Mon Jan  1 19:58:27 UTC 2018
#@# EM Registration Mon Jan  1 21:12:17 UTC 2018
#@# CA Normalize Mon Jan  1 22:09:15 UTC 2018
#@# CA Reg Mon Jan  1 22:14:06 UTC 2018
