status file for recon-all
Mon Jan  1 19:39:17 UTC 2018
#@# MotionCor Mon Jan  1 19:39:32 UTC 2018
#@# Talairach Mon Jan  1 19:39:59 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:47:10 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:47:10 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:04:36 UTC 2018
#@# Skull Stripping Mon Jan  1 20:11:23 UTC 2018
#@# EM Registration Mon Jan  1 21:30:04 UTC 2018
#@# CA Normalize Mon Jan  1 22:19:20 UTC 2018
#@# CA Reg Mon Jan  1 22:23:55 UTC 2018
