status file for recon-all
Mon Jan  1 19:39:34 UTC 2018
#@# MotionCor Mon Jan  1 19:39:50 UTC 2018
#@# Talairach Mon Jan  1 19:40:16 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:46:15 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:46:15 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:00:47 UTC 2018
#@# Skull Stripping Mon Jan  1 20:06:56 UTC 2018
#@# EM Registration Mon Jan  1 21:04:32 UTC 2018
#@# CA Normalize Mon Jan  1 21:56:58 UTC 2018
#@# CA Reg Mon Jan  1 22:01:29 UTC 2018
