status file for recon-all
Mon Jan  1 19:41:30 UTC 2018
#@# MotionCor Mon Jan  1 19:41:39 UTC 2018
#@# Talairach Mon Jan  1 19:41:59 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:53:07 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:53:07 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:07:01 UTC 2018
#@# Skull Stripping Mon Jan  1 20:14:03 UTC 2018
#@# EM Registration Mon Jan  1 21:27:15 UTC 2018
#@# CA Normalize Mon Jan  1 22:26:48 UTC 2018
#@# CA Reg Mon Jan  1 22:31:30 UTC 2018
