status file for recon-all
Mon Jan  1 19:40:19 UTC 2018
#@# MotionCor Mon Jan  1 19:40:23 UTC 2018
#@# Talairach Mon Jan  1 19:40:43 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:46:32 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:46:32 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:00:49 UTC 2018
#@# Skull Stripping Mon Jan  1 20:07:49 UTC 2018
#@# EM Registration Mon Jan  1 21:27:42 UTC 2018
#@# CA Normalize Mon Jan  1 22:17:53 UTC 2018
#@# CA Reg Mon Jan  1 22:22:11 UTC 2018
