status file for recon-all
Mon Jan  1 19:40:53 UTC 2018
#@# MotionCor Mon Jan  1 19:41:16 UTC 2018
#@# Talairach Mon Jan  1 19:41:45 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:48:03 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:48:04 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:00:28 UTC 2018
#@# Skull Stripping Mon Jan  1 20:06:50 UTC 2018
#@# EM Registration Mon Jan  1 21:15:39 UTC 2018
#@# CA Normalize Mon Jan  1 22:03:22 UTC 2018
#@# CA Reg Mon Jan  1 22:07:55 UTC 2018
