status file for recon-all
Mon Jan  1 19:41:07 UTC 2018
#@# MotionCor Mon Jan  1 19:41:14 UTC 2018
#@# Talairach Mon Jan  1 19:41:29 UTC 2018
#@# Talairach Failure Detection Mon Jan  1 19:58:49 UTC 2018
#@# Nu Intensity Correction Mon Jan  1 19:58:59 UTC 2018
#@# Intensity Normalization Mon Jan  1 20:08:58 UTC 2018
#@# Skull Stripping Mon Jan  1 20:16:31 UTC 2018
#@# EM Registration Mon Jan  1 21:17:04 UTC 2018
#@# CA Normalize Mon Jan  1 22:35:11 UTC 2018
#@# CA Reg Mon Jan  1 22:40:49 UTC 2018
